10,Natural Light,7
10,Mozzarella sticks,3
10,Stella Artois,3
10,Natural Light,3
10,Elysian,5
10,Leinenkugels,6
10,Stella Artois,6
10,Miller Lite,1
10,Mozzarella sticks,6
100,Tree House,2
100,Chips and Salsa,5
100,Tree House,7
100,Lagunitas,6
100,Dogfish Head,1
100,Michelob Ultra,3
100,Chips and Salsa,6
100,Tree House,6
1000,Chips and Salsa,1
1000,Blue Moon,6
1000,Pizza,5
1000,Ballast Point,2
1000,Leinenkugels,7
1002,Bravus,7
1002,Onion rings,7
1002,Sierra Nevada,5
1002,Dogfish Head,6
1002,Miller Lite,6
1002,Pizza,6
1002,Michelob Ultra,5
1002,Michelob Ultra,5
1003,Old Style,5
1003,Busch,4
1003,Schlitz,2
1003,Busch,6
1003,Stella Artois,4
1003,Tree House,1
1004,Firestone Walker,1
1004,Busch,7
1004,Modelo Especial,5
1004,Busch,3
1004,Bravus,4
1004,Delirium,4
1005,Budweiser,1
1005,Sierra Nevada,5
1005,Modelo Especial,5
1005,Jalapeno popper,1
1006,Brooklyn Brewery,6
1006,Brooklyn Brewery,6
1006,Corona,6
1006,Natural Light,3
1006,Corona,4
1006,Yuengling Lager,6
1006,Corona,2
1006,Onion rings,6
1006,Yuengling Lager,6
1006,Lagunitas,7
1007,Old Style,2
1007,Victory,1
1007,Artichokes,1
1007,Schlitz,1
1007,Keystone Light,2
1007,Heineken,1
1007,Grilled Chicken Sandwich,3
1007,Grilled Chicken Sandwich,5
1007,Schlitz,5
1008,Budweiser,2
1008,Goose Island,6
1008,Stella Artois,6
1008,Firestone Walker,2
1008,Firestone Walker,3
1009,Delirium,5
1009,Buffalo wings,6
1009,Guinness,4
1009,Quesadillas,2
1009,Corona,4
1010,Ballast Point,3
1010,Jalapeno popper,2
1010,Leinenkugels,1
1010,Jalapeno popper,1
1010,Yuengling Lager,2
1010,Stella Artois,7
1010,Bud Light,5
1010,Steel Reserve,3
1010,Shrimp,7
1010,Yuengling Lager,2
1011,Lagunitas,2
1011,Elysian,2
1011,Old Style,7
1011,Cheese Steak,4
1011,Artichokes,7
1011,Guinness,2
1012,Hamm's,3
1012,Tree House,5
1012,Onion rings,6
1012,Blue Moon,7
1012,Guinness,2
1012,Leinenkugels,4
1012,Steel Reserve,6
1012,Steel Reserve,3
1012,Ballast Point,6
1013,Brooklyn Brewery,1
1013,Coors Light,2
1013,Modelo Especial,1
1013,Onion rings,3
1013,Onion rings,4
1013,Onion rings,2
1013,Dogfish Head,7
1013,Bravus,1
1013,Onion rings,6
1013,Bud Light,3
1013,Leinenkugels,2
1017,Elysian,4
1017,Grilled Chicken Sandwich,1
1017,Victory,7
1017,Busch,2
1017,Brooklyn Brewery,7
1017,French fries,5
1017,Lagunitas,4
1019,Stella Artois,2
1019,Coors Light,7
1019,Quesadillas,1
1019,Quesadillas,1
1019,Dos Equis,4
1020,Tree House,6
1020,Lagunitas,1
1020,Buffalo wings,4
