1023,Brooklyn Brewery,12
1023,Dogfish Head,15
1023,Grilled Chicken Sandwich,12
1023,Guinness,2
1023,Heineken,14
1023,Jalapeno popper,9
1023,Meatball Sandwich,11
1023,Sierra Nevada,12
1023,Steel Reserve,11
1053,Blue Moon,2
1053,Icehouse,6
1053,Jalapeno popper,16
1053,Lagunitas,6
1053,River Horse,7
1053,Shrimp,12
1329,Brooklyn Brewery,2
1329,Chips and Salsa,3
1329,Hamm's,12
1329,Meatball Sandwich,1
1329,New Belgium,7
1329,Pabst Blue Ribbon,15
1329,Sierra Nevada,1
1329,Steel Reserve,1
1840,Artichokes,1
1840,Ballast Point,15
1840,Dogfish Head,4
1840,Dos Equis,4
1840,Elysian,3
1840,Mozzarella sticks,11
1840,Old Milwaukee,1
1840,Pizza,4
1840,Yuengling Lager,18
2009,Brooklyn Brewery,5
2009,Cheese Steak,5
2009,Coors Light,4
2009,Corona,2
2009,Firestone Walker,8
2009,French fries,8
2009,Heineken,10
2009,Lagunitas,10
2262,Coors Light,10
2262,Dogfish Head,5
2262,Dos Equis,2
2262,Goose Island,5
2262,Grilled Chicken Sandwich,10
2262,Jalapeno popper,5
2262,Landshark,6
2262,Mozzarella sticks,12
2295,Artichokes,11
2295,Bravus,8
2295,Bud Light,13
2295,Chicken fingers,9
2295,Elysian,10
2295,Natural Light,3
2295,Shrimp,5
2321,Guinness,3
2321,Old Milwaukee,7
2583,Blue Moon,1
2583,Bravus,10
2583,Buffalo wings,11
2583,Firestone Walker,4
2583,Michelob Ultra,11
2583,Mozzarella sticks,3
2583,Onion rings,2
2583,Schlitz,15
4078,Goose Island,7
4078,Jalapeno popper,13
4078,Lagunitas,2
4078,Natural Light,11
4078,Yuengling Lager,9
4372,Leinenkugels,1
4372,Old Style,11
4372,Onion rings,13
4630,Dogfish Head,10
4851,Budweiser,5
4851,Firestone Walker,3
4851,French fries,2
4851,Meatball Sandwich,13
4851,Mozzarella sticks,8
4851,Shrimp,10
4851,Tree House,10
4927,Busch,4
4927,Chicken fingers,6
4927,Dos Equis,14
4927,River Horse,10
4927,Yuengling Lager,10
765,Guinness,9
765,Keystone Light,8
765,Mozzarella sticks,14
1019,Bud Light,18
1019,Dogfish Head,9
1019,French fries,1
1019,Meatball Sandwich,12
1019,Pizza,7
1019,Stella Artois,4
1111,Goose Island,9
1111,Grilled Chicken Sandwich,14
1111,Landshark,5
1111,Mozzarella sticks,10
1111,New Belgium,4
1111,Old Milwaukee,8
1111,Onion rings,14
1526,Blue Moon,5
1526,Firestone Walker,8
1526,Goose Island,22
1526,Mozzarella sticks,12
244,Artichokes,11
244,Blue Moon,4
244,Dogfish Head,14
244,Pabst Blue Ribbon,8
244,Schlitz,13
244,Steel Reserve,5
2488,Bravus,4
2488,Busch,9
2488,Firestone Walker,3
2488,Heineken,7
2488,Keystone Light,5
2488,Lagunitas,5
2488,Meatball Sandwich,2
2488,Modelo Especial,15
2488,Mozzarella sticks,14
2488,Natural Light,3
2488,Steel Reserve,9
2488,Stella Artois,5
2488,Victory,9
3175,Blue Moon,12
3175,Bravus,16
3175,Buffalo wings,1
3175,Cheese Steak,9
3175,Grilled Chicken Sandwich,11
3175,Leinenkugels,10
3175,Modelo Especial,5
3175,Natural Light,4
3436,Bud Light,4
3436,Elysian,3
